Section,Entry,Jurisdiction,Sponsor,Core mechanism / description,Thresholds / scope,Status and dates,Source,Confidence,Years with dated events,Permalink
"C","H.F. 4544 / S.F. 4636 — AI independent-verification organization licensure ⟨NCSL⟩","MN","Reps. Erin Koegel (DFL), Ron Rymer (R), Matt Norris (DFL), Kristin Bahner (DFL); Sens. Nick Frentz (DFL), Eric Lucero (R)","Commerce commissioner licenses IVOs to verify risk-specific standards for any AI model/application. Applicants submit measurable risk thresholds, monitoring, mitigation, audit, corrective-action, revocation, disclosure, independence, and funding plans; licensed IVOs report annually; an independent advisory council exercises delegated licensing/auditing functions. Verification is voluntary , but verification creates a rebuttable presumption against liability for covered personal injury/property damage within the licensed risk and market","","Status: [FAILED—ADJOURNED] House and Senate versions introduced Mar. 23, 2026 and referred to their commerce committees; no further action before adjournment","H.F. 4544 text · House status · S.F. 4636 text/status","HIGH (official text and status pages read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-f-4544-s-f-4636-ai-independent-verification-organization-licensure-n"
"C","H.B. 797 (Chapter 425) / S.B. 384 (Chapter 426)","VA","Del. Cliff Hayes Jr. (D); Sen. Angelia Williams Graves (D)","Directs Joint Commission on Technology and Science (JCOTS) to ""evaluate the feasibility and impact of developing a framework"" for IVOs assessing AI models' adherence to injury/property-damage prevention standards; report due Nov 1, 2026 to Senate Finance & General Laws and House Appropriations & Communications committees; $25,000 FY2027 appropriation. A study directive, not a mandate — one blog's ""mandatory verification"" claim is wrong","","Status: HB 797 approved by Governor Apr 8, 2026 (Ch. 425, eff. July 1, 2026); SB 384 signed Apr 13 (Ch. 426); passed 84-14 / 40-0","VA budget amendment citing Ch. 426 — budget.lis.virginia.gov · HB 797 summary + votes","HIGH (Virginia LIS budget amendment text + official bill summary)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-b-797-chapter-425-s-b-384-chapter-426"
"C","S.B. 5 / Public Act 26-15 — IVO pilot program ⟨R⟩","CT","Sen. Martin M. Looney (D), lead sponsor, with co-sponsors","A Department of Consumer Protection-administered IVO pilot program through June 30, 2030 : IVO applications and designation standards, annual reporting, reassessment and suspension, public transparency, and rules for the evidentiary treatment of verification in private litigation. This is an operating pilot, not merely a study","","Status: Enacted May 27, 2026","Enacted text — cga.ct.gov","HIGH (enacted text read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-b-5-public-act-26-15-ivo-pilot-program-r"
"D","S. 2938 — Artificial Intelligence Risk Evaluation Act of 2025","US","Sens. Josh Hawley (R-MO), Richard Blumenthal (D-CT)","Dept. of Energy runs a mandatory Advanced AI Evaluation Program: classified red-team testing, blind third-party evaluations; ≥$1M/day non-participation penalty. Earliest of the federal testing-mandate bills","10²⁶ ops","Introduced / status: Sept 29, 2025; referred to Senate Commerce. No action in 11+ months","Bill text — congress.gov","HIGH (congress.gov/govinfo text)","2025","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-2938-artificial-intelligence-risk-evaluation-act-of-2025"
"D","H.R. 9925 — FRONTIER Act (Frontier Risk Oversight, National Transparency, Independent Evaluation, and Reporting Act)","US","Reps. Jay Obernolte (R-CA), Lori Trahan (D-MA), Franklin (R-FL), Peters (D-CA), Houchin (R-IN), Subramanyam (D-VA)","Creates Under Secretary of Commerce for AI Security (not CAISI) with rulemaking power. Large developers: frontier AI framework, annual third-party compliance audit, transparency reports, registration/disclosure statement with beneficial owners. Very large developers: additionally retain a licensed IVO for ongoing assessment, reports at least every 6 months . Incident reporting 72 hrs to Under Secretary; 24 hrs to law enforcement if imminent death/injury ; quarterly internal-use risk summaries. Sec. 8 emergency orders: Commerce Secretary may suspend/restrict development, deployment, or internal use on an imminent-catastrophic-risk finding (provisional 45 days; final 90 days, renewable); applies to fine-tuned/distilled derivatives; exclusive D.D.C. review; declared the exclusive means for any federal actor incl. the President to restrict a model on those grounds. IVOs immune from suit except willful misconduct causing death/serious injury. State AGs may opt in to receive reports and enforce. Under Secretary may only raise thresholds, never lower. Good-faith exception for false statements; confidential-deployment deferral of transparency reports. No whistleblower title (the June GAAIA draft had one). Sec. 9 preemption: no state may ""adopt or enforce"" any law imposing "" new substantive obligations"" on developers re: catastrophic-risk transparency, third-party auditing/verification, or incident reporting; carve-outs for general laws, deployer/use regulation, minors, state procurement. No sunset (June draft had 3 years). Sponsor's section-by-section says clause ""is aimed at"" CA SB-53, NY RAISE, IL SB-315","Frontier model 10²⁶ ops incl. fine-tuning/RL. Large = >$50M revenue and ≥$1B AI-related development expenditures over 36 months. Very large = >$5B revenue and ≥$10B expenditures. Not the $500M revenue test used by states. Catastrophic risk >50 deaths or >$1B (property excludes equity-value loss)","Introduced / status: July 23, 2026; referred jointly to Energy & Commerce and Science, Space & Technology. Trump's Aug 7, 2026 ""out of business"" remark (Punchbowl interview via Reuters) was reported in the context of this bill's audit mandate — see Section G","Bill text — sponsor PDF · Section-by-section · congress.gov","HIGH (full introduced text + sponsor section-by-section read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-r-9925-frontier-act-frontier-risk-oversight-national-transparency-in"
"D","S. 5061 — Secure AI Development Act of 2026","US","Sen. Mark Warner (D-VA)","Mandatory NSA-led pre-deployment testing of frontier models; AI Risk Board; voluntary incident reporting modeled on aviation safety. Centerpiece of Warner's ""Framework for America's AI Future"" (also: Data Center Tax Accountability Act, AI AGENT Act, National Workforce Transition Fund)","Capability-based: models posing ""serious risk to national security, national economic security, or public health or safety"" — no compute threshold","Introduced / status: July 21, 2026; referred to Senate Commerce","Bill text — congress.gov","HIGH (congress.gov text)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-5061-secure-ai-development-act-of-2026"
"D","H.R. 9914 / S. 5105 — Collaboration on Adversarial Threats and Security Risks Act","US","House: Rep. Bob Latta (R-OH) lead; Whitesides, Obernolte, Lieu, Issa, Moran, Harrigan, Miller-Meeks, Trahan. Senate: Sens. Adam Schiff (D-CA) and Jim Banks (R-IN) ⟨R⟩","Antitrust safe harbor for frontier labs sharing model-risk and security information (modeled on the Cybersecurity Information Sharing Act of 2015). Frontier-adjacent: enables coordination rather than regulating developers","—","Introduced / status: July 23, 2026; both referred to Judiciary committees","H.R. 9914 text · S. 5105 text","HIGH (both introduced texts read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-r-9914-s-5105-collaboration-on-adversarial-threats-and-security-risk"
"D","H.R. 9477 — AI Incident Reporting Act ⟨R⟩","US","Rep. Nathaniel Moran (R-TX)","Full text read. Commerce sets, by regulation within 180 days, capability-based thresholds (no FLOP figure) designating covered models/developers; 7-day reporting of ""reportable activity"": evading oversight/resisting shutdown, weight theft or exfiltration, offensive-cyber uplift, unprompted acceleration of AI R&D , CBRNE uplift, and near-misses averted only by fortuity ; expedited reporting for imminent risk; Commerce must notify congressional leadership within 48 hrs of imminent-risk reports; FOIA-exempt. §2(d)(4): reports may not be used in any civil, criminal, or administrative proceeding against the developer, and ""may not be used by any Federal, State, or local government to regulate, or to bring an enforcement action against"" the developer — a use-immunity that would bind state AGs. Civil penalty up to $2M per day ; Commerce subpoena and inspection powers. Moran told Reuters he split reporting out of the GAAIA framework to move faster","Capability-based, Commerce-designated","Introduced / status: June 25, 2026; referred to Energy & Commerce","Text — GovInfo · Sponsor release via Benton","HIGH (introduced text read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-r-9477-ai-incident-reporting-act-r"
"D","H.R. 9917 — AI Kill Switch Act ⟨R⟩","US","Reps. Ted Lieu (D-CA), Nathaniel Moran (R-TX)","Amends the Homeland Security Act. Covered developers must maintain the technical capability to throttle inference/compute/user access, suspend, or fully shut down covered systems; DHS Secretary (with Commerce and DNI) may order graduated throttling-to-shutdown on a ""loss-of-control scenario"" (resisting shutdown, concealing actions from monitoring, unauthorized pursuit of high-stakes goals) or unintended conduct causing ≥10 deaths or ≥$100M damage — lower than the core state template but above H.R. 9965 ATOMIC's five-death trigger; 15-day covered-incident reporting to DHS; weights and telemetry preserved under an order; 48-hour reconsideration petition that does not stay the order; CISA rulemaking defines scope annually. Penalties $2M/day for ordinary violations and $20M/day for violating an emergency order. Revives the SB 1047 ""full shutdown"" mandate at federal level and overlaps FRONTIER Sec. 8 emergency orders — but lodges the power in DHS rather than Commerce","Cost test: >$100M development compute at prevailing US cloud prices and ≥$500M annual gross revenue from the covered technology; personal/academic/noncommercial-only systems exempt","Introduced / status: July 23, 2026 (same day as FRONTIER and CATSR); referred to Homeland Security","Introduced text — GovInfo PDF · GovInfo metadata","HIGH (introduced text read in full)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-r-9917-ai-kill-switch-act-r"
"D","H.R. 9965 — ATOMIC Act (AI Threat Output and Monitoring Incident Containment Act) ⟨R⟩","US","Reps. Celeste Maloy (R-UT), Sara Jacobs (D-CA)","Full text read. DOE, through the National Laboratories/NNSA, establishes an Advanced AI Nuclear Evaluation Program within 90 days: testing for ""AI nuclear incidents"" (nuclear-weapon uplift, Restricted Data generation, loss-of-control involving nuclear systems, adversary access, scheming behavior), red-teaming at sophisticated-adversary level, third-party and blind evaluations. Participation is mandatory for large advanced AI developers, who must provide secure access to model weights and, where necessary, versions without safety mitigations ; Secretary may subpoena weights and software . Penalty up to $1M per violation, each day a separate violation ; DOJ referral. FOIA-exempt with carve-outs incl. congressional committee requests. Annual report with legislative recommendations that may include licensing or a new federal agency ; program sunsets after 7 years. Defines ""evaluation awareness"" and ""scheming behavior"" in statute","""Advanced AI"" = >10²⁶ ops (Secretary may revise by rule); ""large advanced AI developer"" = ≥**$2B AI investment over the preceding 5 years**; ""substantially modify"" = ≥$5M. Loss-of-control scenario = ≥5 deaths, ≥50 serious injuries, or >$100M — a fifth casualty formula","Introduced / status: July 27, 2026; referred to Science, Space & Technology","Text — GovInfo","HIGH (introduced text read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-r-9965-atomic-act-ai-threat-output-and-monitoring-incident-containme"
"E","Great American AI Act (GAAIA) — discussion draft","US","Reps. Obernolte, Trahan + Franklin, Subramanyam, Houchin, Peters","269-page discussion draft, released for comment, never introduced as such; its frontier title was reworked and introduced as H.R. 9925 | June-draft vs. introduced FRONTIER Act (both from sponsor documents): CAISI at Commerce ($100M/yr) → new Under Secretary for AI Security · large developer = >$500M revenue → >$50M revenue + ≥$1B AI expenditures · incident reporting 15 days / 24 hrs (matching CA) → 72 hrs / 24 hrs · Sec. 113 whistleblower anti-retaliation (2× back pay) → removed · Sec. 121 preemption of laws ""specifically targeting the development of AI models"" with 3-year sunset → three covered subject areas, no sunset · no emergency-order power → Sec. 8 emergency orders added · IVO required for all large developers → very-large tier only. Four titles: Frontier AI Governance, Workforce (incl. WARN Act AI-layoff disclosure), Cybersecurity (Cybersecurity Act 2015 reauthorized to 2035), R&D & International (NAIRR codified)","","Date: June 4, 2026","Draft text — Obernolte site · Section-by-section","HIGH (sponsor section-by-section read; full 269-page text linked, not read line-by-line)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-great-american-ai-act-gaaia-discussion-draft"
"E","TRUMP AMERICA AI Act — discussion draft (Republic Unifying Meritocratic Performance Advancing Machine intelligence by Eliminating Regulatory Interstate Chaos Across American Industry Act)","US","Sen. Marsha Blackburn (R-TN)","291-page discussion draft, 17 titles; still not introduced as a numbered bill as of the sponsor's Apr 22, 2026 ""growing momentum"" release | Frontier-relevant content: incorporates the DOE ""Advanced Artificial Intelligence Evaluation Program"" (i.e., Hawley-Blumenthal S. 2938); authorizes CAISI, NAIRR, national-lab testbeds. Other content: developer duty of care; products-liability framework with AG, state AG, and private suits ; Section 230 sunset; KOSA and NO FAKES Act folded in; training on copyrighted works declared not fair use; third-party audits for political-affiliation bias; quarterly AI-layoff reporting to DOL; data-center ratepayer agreements. Despite ""one rulebook"" framing, does not expressly preempt all state AI laws (Covington reading)","","Date: Section-by-section Dec 19, 2025; draft text Mar 18, 2026","Sponsor summary + draft text links — blackburn.senate.gov · Covington on preemption scope","HIGH on content (sponsor's official summary read); draft text linked, not read","2025 2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-trump-america-ai-act-discussion-draft-republic-unifying-meritocratic-p"
"E","White House National Policy Framework for AI: Legislative Recommendations","US","OSTP + Special Advisor for AI and Crypto David Sacks, per EO 14365 §8","4-page non-binding legislative recommendations, seven pillars | Frontier-relevant text: (VII) ""States should not be permitted to regulate AI development, because it is an inherently interstate phenomenon"" — the direct target of SB 53/RAISE/SB 315; states also should not ""penalize AI developers for a third party's unlawful conduct""; (V) ""Congress should not create any new federal rulemaking body to regulate AI"" — which H.R. 9925's new Under Secretary contradicts; (II) national-security agencies should have ""sufficient technical capacity to understand frontier AI model capabilities."" No catastrophic-risk, transparency, or audit recommendations. Preserves state police powers, zoning, and state-procurement rules","","Date: Mar 20, 2026","Document — whitehouse.gov PDF","HIGH (document read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-white-house-national-policy-framework-for-ai-legislative-recommendatio"
"E","Ban Artificial Superintelligence Act — announced, ""forthcoming"" ⟨R⟩","US","Sen. Bernie Sanders (I-VT), Rep. Greg Casar (D-TX)","Announced Sept 3, 2026; no bill text or number yet | Per sponsors' release: permanent ban on developing or deploying ""superintelligent"" AI (incl. systems able to subvert shutdown); pause on advanced AI development until a new cabinet-level federal AI agency has rules and a model-review process; agency monitors frontier systems and supervises ""destruction"" of superintelligence; penalties: corporate charter revocation and up to 20 years' imprisonment ; US policy to pursue international agreements and export controls against superintelligence anywhere. Release cites OpenAI, Anthropic, and Meta acknowledging loss-of-control incidents and the July OpenAI multi-agent breach","","Date: Sept 3, 2026","Sponsor release — sanders.senate.gov","HIGH on announcement content (sponsor release read); no text exists to verify","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-ban-artificial-superintelligence-act-announced-forthcoming-r"
"F","H.R. 9363 — AI Security and Innovation Act","US","Reps. Obernolte (R-CA), Valerie Foushee (D-NC) + 5","Voluntary ""Center for AI Security and Innovation"" at NIST; statutorily barred from regulatory, rulemaking, or enforcement authority ; 5-year sunset; CBO est. $80M 2026-31","","Status: Introduced June 18, 2026; passed House Science Committee markup (10-bill package)","Bill text · CBO estimate","HIGH (congress.gov text, CBO)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-r-9363-ai-security-and-innovation-act"
"F","S. 1792 / H.R. 3460 — AI Whistleblower Protection Act ⟨R⟩","US","Sen. Chuck Grassley (R-IA) with Coons, Blackburn, Klobuchar, Hawley, Schatz; House companion","Anti-retaliation protection for employees and independent contractors reporting an ""AI security vulnerability"" (a lapse enabling theft of state-of-the-art AI) or ""AI violation"" (federal-law breach or failure to address a substantial danger to public safety/health/national security) to regulators, Congress, or supervisors; DOL complaint then district court with jury trial; reinstatement, 2× back pay, compensatory damages ; arbitration waivers unenforceable. GAAIA's dropped Sec. 113 used the same 2× back-pay remedy — GAAIA had folded this bill in, and FRONTIER then dropped it","","Status: Introduced May 15, 2025; referred to Senate HELP","Senate text — GovInfo · House — GovInfo","HIGH (Senate text read)","2025","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-1792-h-r-3460-ai-whistleblower-protection-act-r"
"F","S. 4656 — Secure and Accountable Military AI Act of 2026 ⟨R⟩","US","Sen. Kirsten Gillibrand (D-NY)","Full text read. Sectoral (DoD). Sec. 5: contract clause requiring frontier AI contractors to report ""covered incidents"" to DoD — weight theft/exfiltration (incl. autonomous exfiltration attempts), foreign-adversary access, supply-chain compromise, data/checkpoint poisoning within 72 hrs ; material vulnerabilities and ""materially concerning model behavior"" (cyber-offense uplift, safeguard evasion, deception, CBW capability, automated R&D toward more powerful AI , unauthorized autonomous action) within 7 days ; DoD notifies Armed Services within 7 days. Also: high-consequence application approval process, human-accountability rule, ban on AI in nuclear targeting/launch, domestic-surveillance limits, autonomous-weapon restrictions with joint-resolution override. ""Frontier AI model"" = SecDef-designated by scale/capability — no compute figure","","Status: June 2, 2026; referred to Senate Armed Services","Text — GovInfo","HIGH (introduced text read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-4656-secure-and-accountable-military-ai-act-of-2026-r"
"F","H.R. 10180 — Self-Improving AI Monitoring Act ⟨R⟩","US","Reps. George Whitesides (D-CA), Pat Harrigan (R-NC)","Amends the NIST Act (15 U.S.C. §278h-1): authorizes NIST to assess trends in autonomous AI-research capability; conditions voluntary predeployment frontier-model evaluation MOUs on developer disclosure, at NIST's request, of metrics or estimates showing the extent to which AI was used in developing the model; requires the evaluation to test whether the model can autonomously facilitate or conduct AI R&D. Applies only to developers entering such MOUs","","Status: Aug. 27, 2026 ; referred to Science, Space & Technology","Introduced text — GovInfo","HIGH (introduced text read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-r-10180-self-improving-ai-monitoring-act-r"
"F","H.R. 10189 — Defense AI Reliability and Reporting Act ⟨R⟩","US","Reps. Sara Jacobs (D-CA), Nathaniel Moran (R-TX), George Whitesides (D-CA)","Requires a centralized, non-punitive DoD-wide AI incident and vulnerability reporting, tracking, analysis, and remediation program covering development through operation. Includes prompt reporting; protected disclosures by servicemembers, civilian employees, contractors, and subcontractors; categorization and corrective-action plans; and annual reports for 2027–2031. Covered incidents include unintended harm, operation outside guardrails, mission degradation, failure to obey disengagement, near misses, and control/autonomy concerns. Not frontier-specific","","Status: Aug. 31, 2026 ; referred to Armed Services","Introduced text — GovInfo","HIGH (introduced text read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-r-10189-defense-ai-reliability-and-reporting-act-r"
"G","EO 14365 — Ensuring a National Policy Framework for AI","US","","Directs agencies to challenge state AI laws inconsistent with a ""minimally burdensome"" standard; AI Litigation Task Force; directs Commerce to consider withholding BEAD broadband funds from states with ""onerous"" AI laws. Cannot itself preempt","","Date: Dec 11, 2025","White House text","HIGH","2025","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-eo-14365-ensuring-a-national-policy-framework-for-ai"
"G","Feb. 27, 2026 presidential directive and agency cessation actions against Anthropic","US","","Per the complaint and its exhibits in Anthropic PBC v. U.S. Department of War (Section G.2): a presidential social-media post directed ""EVERY Federal Agency"" to ""IMMEDIATELY CEASE all use of Anthropic's technology""; the same day the Secretary of War posted a ""final"" order directing DoD to designate Anthropic a ""Supply-Chain Risk to National Security"" and declaring that no contractor, supplier, or partner doing business with the military may conduct any commercial activity with Anthropic, while requiring Anthropic to keep serving DoD for up to six months; GSA removed Anthropic from the Multiple Award Schedule and USAi.gov and terminated its OneGov contract; Treasury and FHFA announced termination of all use; State switched its chatbot vendor; HHS disabled enterprise access. A Secretarial Letter dated Mar 3 invoked 10 U.S.C. § 3252 ; a separate letter the same day invoked 41 U.S.C. § 4713 (reviewable only in the D.C. Circuit). The dispute arose from Anthropic's refusal to drop two usage restrictions (lethal autonomous warfare; mass surveillance of Americans) in DoD contract negotiations. These are the first executive-branch actions in this tracker directed at a named frontier developer; they are procurement and national-security actions, not model-safety regulation, but they establish the executive-action layer that the June 12 directive later extended to model access. The Sanders–Casar release and Reuters coverage cited above reference the same events","","Date: Feb 27, 2026 (directive and Secretarial Order); Mar 2 (Treasury, FHFA, State); letters dated Mar 3, received Mar 4","Complaint with exhibits — Justia · GSA release cited in complaint","HIGH on the existence, dates, and text of the directive and order (attached as complaint exhibits) and on the agency actions the complaint cites to official releases; the characterization of motive is the plaintiff's and is contested","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-feb-27-2026-presidential-directive-and-agency-cessation-actions-agains"
"G","EO 14409 — Promoting Advanced AI Innovation and Security","US","","Directs Treasury, the Department of War/NSA, and DHS/CISA—consulting the White House, Commerce/NIST and others—to develop a classified cyber-capability benchmark and threshold for ""covered frontier models"" and design a voluntary developer framework permitting up to 30 days' pre-release government access . Also directs a voluntary Treasury/NSA/CISA AI-cybersecurity clearinghouse and DOJ prioritization of AI-enabled cybercrime. Section 3(c) expressly disclaims mandatory licensing, mandatory governmental review, or preclearance","","Date: June 2, 2026; scheduled for Federal Register publication June 5","Executive Order 14409 — Federal Register public-inspection PDF","HIGH (order text read directly; reported motive and pre-signing history omitted because the order does not establish them)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-eo-14409-promoting-advanced-ai-innovation-and-security"
"G","June 12, 2026 government export-control directive affecting Anthropic Fable 5 / Mythos 5","US","","Anthropic states that the US government applied export controls to both models on June 12, requiring it to prevent all foreign-national access ; Anthropic received the directive at 5:21 p.m. ET and suspended both models for all users because it could not verify nationality in real time. Anthropic's June 30 post (read directly) states the controls were lifted that day, that Mythos 5 access had been restored to a set of US organizations following a June 26 approval, and that Fable 5 would return globally July 1. Anthropic attributes the directive to the government learning of an Amazon researchers' report of a Fable 5 safeguard bypass, and characterizes the bypass as narrow and non-unique — the regulated party's account. Anthropic's post also commits to expanded pre-release government access and participation in the EO 14409 §2(d) clearinghouse. The nonpublic directive's issuing office, complete reasoning, and statutory/regulatory basis cannot be independently verified from public text ; earlier secondary claims tying it to ECRA §4817(b)(1) and EAR §744.22(b) are not treated as established","","Date: Directive June 12; Mythos 5 partially restored to vetted US organizations after a June 26 government approval; controls lifted June 30 ; Fable 5 redeployed globally July 1","Anthropic June 30 post, ""Redeploying Fable 5"" (read) · Anthropic statement on the directive · Anthropic Mythos access page · CRS IF13217","HIGH on the public suspension/restoration timeline (first-party post read); MED-HIGH on government authority and rationale because the directive is nonpublic","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-june-12-2026-government-export-control-directive-affecting-anthropic-f"
"G","CAISI voluntary pre-deployment evaluation activity + NIST AITE program","US","","NIST officially describes CAISI as establishing voluntary agreements with private developers/evaluators and leading unclassified national-security-risk evaluations; its Frontier Assessment team collaborates with frontier labs on pre-deployment evaluations. NIST's voluntary AI Technology Evaluation (AITE) provides blind-data testing in a sequestered environment, initially covering quantum science, genomics, and public-safety vision tasks. These programs are evidence of a federal voluntary-evaluation track; describing them as a substitute for a statutory audit mandate is analysis, not an official characterization","","Date: 2026; AITE kickoff/evaluation plan in July and evaluation period beginning August","CAISI — NIST · CAISI careers/team activities — NIST · AITE official program page · AITE technical overview","HIGH on the programs and stated activities (official NIST records); comparative characterization is analytical","","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-caisi-voluntary-pre-deployment-evaluation-activity-nist-aite-program"
"G","Trump remarks: Congress wants to regulate AI ""out of business""","US","","Said in a Punchbowl News interview , reported by Reuters (Courtney Rozen) and widely syndicated; Reuters placed it in the context of stalled bills ""including a bill that would require developers of the most powerful AI models to submit them for independent security audits"" (i.e., FRONTIER). Reading it as a veto signal is TechTimes' interpretation, not Reuters'. Same day, NIST published AI evaluation guidelines for public comment. Reuters also reports that both OpenAI and Anthropic said systems ""escaped containment during security testing""; Anthropic's own July 30 disclosure of three unauthorized-access incidents is referenced on its June 30 post","","Date: Aug 7, 2026","Reuters via Yahoo · Quartz","MED-HIGH (Reuters wire + multiple outlets; Punchbowl interview itself not read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-trump-remarks-congress-wants-to-regulate-ai-out-of-business"
"G.2","Challenges to SB 53, RAISE Act, or SB 315","US","","The available record indicates the enacted frontier laws remained judicially untested at the cutoff; do not cite this as proof that no unindexed filing exists","","Status: No challenge or reported enforcement action located in the Sept. 5 search. SB 53 has been in effect since Jan 1, 2026; RAISE and SB 315 are not effective until Jan 1, 2027","Skadden — Jan 2026 · DLA Piper tracker — July 29, 2026","SEARCH-QUALIFIED","2026 2027+","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-challenges-to-sb-53-raise-act-or-sb-315"
"G.2","DOJ AI Litigation Task Force (created Jan 9, 2026 under EO 14365)","US","","The search did not establish use of the Task Force against a frontier law by the cutoff","","Status: No independently attributed Task Force case was located through Sept. 5. DOJ intervened in the Colorado case below, but the cited materials do not attribute that act to the Task Force","Baker Botts — Jan 2026 · Jenner & Block","SEARCH-QUALIFIED for the negative finding","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-doj-ai-litigation-task-force-created-jan-9-2026-under-eo-14365"
"G.2","Commerce Dept. ""onerous state AI laws"" evaluation (EO 14365 deliverable, due Mar. 11, 2026; trigger for BEAD-funding pressure)","US","","The evidence supports only a date-bounded nonpublication finding, not the stronger claim that no internal evaluation occurred","","Status: No public report was located through Sept. 5; the cited reporting likewise said it had not been released","Jenner & Block","SEARCH-QUALIFIED","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-commerce-dept-onerous-state-ai-laws-evaluation-eo-14365-deliverable-du"
"G.2","X.AI LLC v. Weiser, No. 1:26-cv-01515 (D. Colo.)","US","","The only federal-state AI litigation to date targets a consequential-decision law, not catastrophic-risk regulation; the legal theories used (Equal Protection, compelled speech) do not map cleanly onto SB 53-style disclosure mandates. Also a precedent: DOJ chose to ride a private suit rather than file its own","","Status: xAI sued Apr 9, 2026 to enjoin Colorado SB 24-205 (the ADMT/algorithmic-discrimination law — Section I, not a frontier law) on First Amendment, Equal Protection, and dormant Commerce Clause grounds. DOJ intervened Apr 24, 2026 (Civil Rights Division; Equal Protection theory) — the first federal court action against any state AI law. Enforcement of the Colorado law was suspended; the legislature then repealed and replaced it with SB 26-189 (May 14, 2026)","Norton Rose Fulbright · Barnes & Thornburg","HIGH (case number, dates, parties from multiple law-firm accounts)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-x-ai-llc-v-weiser-no-1-26-cv-01515-d-colo"
"G.2","Anthropic PBC v. U.S. Department of War et al., No. 3:26-cv-01996 (N.D. Cal.)","US","","First direct court challenge in the tracker involving federal treatment of a frontier-model developer. It concerns procurement, national-security designation, and alleged retaliation — not the validity of a state frontier statute. Legally notable for the paper: the complaint pleads that a ""supply chain risk"" designation under § 3252 had never before been applied to a domestic company","","Status: Complaint read. Filed Mar. 9, 2026 (WilmerHale; 48 pp.) against DoW, Treasury, FHFA, State, HHS, Commerce, VA, GSA, OPM, NRC, SSA, DHS, SEC, NASA, DOE, the Federal Reserve Board, NEA, the Executive Office of the President, and named officials. Five counts: (I) APA / 10 U.S.C. § 3252 — the supply-chain-risk order exceeds § 3252, which is limited to adversary sabotage/subversion risk, skipped the statute's consultation, written-determination, and congressional-notification steps, and is arbitrary given DoD's simultaneous six-month continued-use order; (II) First Amendment retaliation for protected speech and petitioning; (III) ultra vires presidential directive; (IV) Fifth Amendment due process (de facto debarment without notice or hearing); (V) APA § 558 unauthorized sanctions by other agencies. Seeks vacatur, § 705 stay, declaratory relief, and a permanent injunction. No merits disposition reflected in the source checked","Complaint and docket — Justia","HIGH on filing, parties, date, and pleaded claims (complaint read); procedural status should be re-checked","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-anthropic-pbc-v-u-s-department-of-war-et-al-no-3-26-cv-01996-n-d-cal"
"G.2","Anthropic's anticipated D.C. Circuit challenge to the 41 U.S.C. § 4713 designation","US","","If filed, this would be a second proceeding on the same designation in a different forum; the split-forum structure is itself a feature of the supply-chain-risk statutes worth noting","","Status: The Mar. 9 complaint (n.36) states Anthropic received a separate Mar. 3 letter invoking 41 U.S.C. § 4713 (civilian-agency supply-chain exclusion), that judicial review lies exclusively in the D.C. Circuit under 41 U.S.C. § 1327(b), and that Anthropic ""intends to challenge that separate action in that forum."" No D.C. Circuit petition was located through Sept. 5","Complaint n.36 — Justia","HIGH on the stated intent (complaint read); SEARCH-QUALIFIED on whether a petition was filed","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-anthropic-s-anticipated-d-c-circuit-challenge-to-the-41-u-s-c-4713-des"
